gene_symbol	gene_symbol_original	gene_symbol_corrected_reason	mult_matches	SCZ_p	SCZ_q	BPD_p	BPD_q	Vagas_PGC_SCZ_p	Vagas_PGC_BPD_p	t_product_q	hgnc_id	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit.trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	download_url	download_date
NIPA1	NIPA1	ok	NO	0.0498	0.319	0.0105	0.178	0.651	0.439	0.0959	HGNC:17043	NIPA magnesium transporter 1	protein-coding gene	gene with protein product	Approved	15q11.2	15q11.2	MGC35570|SLC57A1	NA	SPG6	spastic paraplegia 6 (autosomal dominant)|non imprinted in Prader-Willi/Angelman syndrome 1	Solute carriers	752	2004-01-23	NA	2018-02-23	2018-02-23	123606	ENSG00000170113	OTTHUMG00000129099	uc001yvc.4	BK001020	NM_144599	CCDS73691|CCDS73692	Q7RTP0	14508710	MGI:2442058	RGD:1305401	NA	NIPA1	608145	NA	NA	NA	NA	123785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
ATXN7L3B	ATXN7L3B	ok	NO	0.0508	0.322	0.01	0.177	NA	NA	0.0959	HGNC:37931	ataxin 7 like 3B	protein-coding gene	gene with protein product	Approved	12q21.1	12q21.1	lnc-SCA7	NA	NA	ataxin 7-like 3B	NA	NA	2010-04-20	NA	2016-01-19	2016-11-25	552889	ENSG00000253719	OTTHUMG00000163936	uc001sxd.5	NA	NM_001136262	CCDS53815	Q96GX2	25306109	MGI:1914971	RGD:2301984	NA	ATXN7L3B	615579	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
EPS8	EPS8	ok	NO	0.0303	0.277	0.021	0.215	0.628	0.838	0.0966	HGNC:3420	epidermal growth factor receptor pathway substrate 8	protein-coding gene	gene with protein product	Approved	12p12.3	12p12.3	NA	NA	NA	NA	NA	NA	1994-12-19	NA	NA	2016-10-24	2059	ENSG00000151491	OTTHUMG00000168787	uc001rdb.4	U12535	NM_004447	CCDS31753	Q12929	8084614	MGI:104684	RGD:1310590	NA	EPS8	600206	NA	NA	NA	NA	402371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
MDK	MDK	ok	NO	0.0918	0.4	0.00318	0.135	0.00167	0.736	0.0966	HGNC:6972	midkine	protein-coding gene	gene with protein product	Approved	11p11.2	11p11.2	MK|FLJ27379	NA	NEGF2	neurite growth-promoting factor 2	NA	NA	1991-07-10	NA	2017-08-04	2017-08-04	4192	ENSG00000110492	OTTHUMG00000150315	uc031qav.2	NA	NM_001012334	CCDS7919|CCDS59226	P21741	8406506	MGI:96949	RGD:69073	NA	MDK	162096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
PRCP	PRCP	ok	NO	0.0548	0.33	0.00923	0.175	0.788	0.361	0.0966	HGNC:9344	prolylcarboxypeptidase	protein-coding gene	gene with protein product	Approved	11q14	11q14	PCP|HUMPCP	angiotensinase C	NA	prolylcarboxypeptidase (angiotensinase C)	Minor histocompatibility antigens|M14 carboxypeptidases	870|1321	1997-11-06	NA	2015-11-09	2015-11-09	5547	ENSG00000137509	OTTHUMG00000166899	uc001ozs.4	BC001500|BI827978|L13977	NM_005040	CCDS8262|CCDS41695	P42785	8344943	MGI:1919711	RGD:1307842	NA	PRCP	176785	NA	NA	NA	NA	NA	NA	NA	S28.001	NA	objectId:1584	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
TTF1	TTF1	ok	NO	0.0219	0.248	0.0289	0.238	0.881	0.226	0.0966	HGNC:12397	transcription termination factor 1	protein-coding gene	gene with protein product	Approved	9q34.13	09q34.13	NA	NA	NA	transcription termination factor, RNA polymerase I	Myb/SANT domain containing	532	1996-05-13	NA	2016-05-24	2016-10-05	7270	ENSG00000125482	OTTHUMG00000020836	uc004cbl.5	BC050734	NM_007344	CCDS6948|CCDS75925	Q15361	7597036	MGI:105044	RGD:1565673	NA	TTF1	600777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
INPP5F	INPP5F	ok	NO	0.0239	0.258	0.0264	0.231	0.548	0.386	0.0966	HGNC:17054	inositol polyphosphate-5-phosphatase F	protein-coding gene	gene with protein product	Approved	10q26.11	10q26.11	SAC2|KIAA0966|hSac2	NA	NA	NA	Phosphoinositide phosphatases	1079	2003-06-10	NA	NA	2018-12-06	22876	ENSG00000198825	OTTHUMG00000019158	uc001leo.4	AB023183	NM_014937	CCDS7616|CCDS58098|CCDS81513	Q9Y2H2	11274189|25869669	MGI:2141867	RGD:1305777	LRG_1061|http://ftp.ebi.ac.uk/pub/databases/lrgex/pending/LRG_1061.xml	INPP5F	609389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
PANX1	PANX1	ok	NO	0.0354	0.284	0.0174	0.202	0.392	0.627	0.0966	HGNC:8599	pannexin 1	protein-coding gene	gene with protein product	Approved	11q21	11q21	MRS1|UNQ2529|PX1	innexin	NA	NA	Pannexins	288	2000-07-31	NA	NA	2016-10-05	24145	ENSG00000110218	OTTHUMG00000167757	uc001per.4	AF093239	NM_015368	CCDS8296	Q96RD7	14597722	MGI:1860055	RGD:735204	NA	PANX1	608420	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:735	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
OPLAH	OPLAH	ok	NO	0.0564	0.333	0.00894	0.173	0.873	0.342	0.0966	HGNC:8149	5-oxoprolinase, ATP-hydrolysing	protein-coding gene	gene with protein product	Approved	8q24.3	08q24.3	OPLA|5-Opase	NA	NA	NA	NA	NA	1999-12-10	NA	2017-08-08	2017-08-08	26873	ENSG00000178814	OTTHUMG00000165435	uc033cce.2	AF024672|AB122018	NM_017570	CCDS75802	O14841	14993790	MGI:1922725	RGD:620956	NA	OPLAH	614243	NA	NA	NA	NA	297456	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5.2.9	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
SYTL5	SYTL5	ok	NO	0.226	0.564	5.9e-5	0.0522	NA	NA	0.0966	HGNC:15589	synaptotagmin like 5	protein-coding gene	gene with protein product	Approved	Xp11.4	Xp11.4	NA	exophilin 9	NA	synaptotagmin-like 5	Synaptotagmin like tandem C2 proteins	822	2001-07-31	NA	2015-11-18	2016-10-05	94122	ENSG00000147041	OTTHUMG00000033176	uc004ddx.4	NA	NM_138780	CCDS14244|CCDS55399	Q8TDW5	NA	MGI:2668451	RGD:631342	Mental Retardation database|http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=SYTL5	SYTL5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
IP6K3	IP6K3	ok	NO	0.00549	0.164	0.0722	0.335	NA	NA	0.0966	HGNC:17269	inositol hexakisphosphate kinase 3	protein-coding gene	gene with protein product	Approved	6p21.31	06p21.31	INSP6K3	NA	IHPK3	inositol hexaphosphate kinase 3	NA	NA	2002-01-04	2008-12-22	2009-01-05	2014-11-19	117283	ENSG00000161896	OTTHUMG00000014531	uc003ofb.3	AF393812	NM_054111	CCDS34435	Q96PC2	11502751	MGI:3045325	RGD:1584104	NA	IP6K3	606993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
GABRG1	GABRG1	ok	NO	0.038	0.29	0.0163	0.198	0.177	0.641	0.0971	HGNC:4086	gamma-aminobutyric acid type A receptor gamma1 subunit	protein-coding gene	gene with protein product	Approved	4p12	04p12	NA	GABA(A) receptor, gamma	NA	gamma-aminobutyric acid (GABA) A receptor, gamma 1	Gamma-aminobutyric acid type A receptor subunits	563	1991-07-09	NA	2016-02-04	2016-02-04	2565	ENSG00000163285	OTTHUMG00000128609	uc003gxb.4	BC031087	NM_173536	CCDS3470	Q8N1C3	1321425	MGI:103156	RGD:621732	NA	GABRG1	137166	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:413	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
NEK3	NEK3	ok	NO	0.00336	0.148	0.0908	0.369	0.49	0.173	0.0971	HGNC:7746	NIMA related kinase 3	protein-coding gene	gene with protein product	Approved	13q14.3	13q14.3	HSPK36|MGC29949	serine/threonine-protein kinase NEK3|phosphorylase B kinase kinase|glycogen synthase A kinase|hydroxyalkyl-protein kinase	NA	NIMA (never in mitosis gene a)-related kinase 3	NA	NA	1998-08-26	NA	2016-01-13	2016-10-05	4752	ENSG00000136098	OTTHUMG00000016958	uc032age.1	AK290259|BC019916	NM_002498	CCDS73576	P51956	8274451|7522034	MGI:1344371	RGD:1307419	NA	NEK3	604044	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:2118	NA	NA	NA	NA	2.7.11.1	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
MKKS	MKKS	ok	NO	0.032	0.28	0.0201	0.211	0.341	0.284	0.0971	HGNC:7108	McKusick-Kaufman syndrome	protein-coding gene	gene with protein product	Approved	20p12.2	20p12.2	NA	NA	BBS6	NA	Chaperonins|Bardet-Biedl syndrome associated	587|980	1998-09-08	NA	NA	2018-09-26	8195	ENSG00000125863	OTTHUMG00000031868	uc002wnu.3	AF221993	NM_018848	CCDS13111	Q9NPJ1	9467007	MGI:1891836	RGD:1308814	Mutations of the McKusick-Kaufman Gene|http://www.retina-international.org/files/sci-news/mkksmut.htm	MKKS	604896	NA	NA	NA	NA	123245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
MLEC	MLEC	ok	NO	0.0317	0.28	0.0204	0.212	NA	NA	0.0971	HGNC:28973	malectin	protein-coding gene	gene with protein product	Approved	12q24.31	12q24.31	NA	oligosaccharyltransferase complex subunit (non-catalytic)	KIAA0152	KIAA0152	Oligosaccharyltransferase complex subunits	445	2005-01-17	2008-11-05	2008-11-05	2016-03-01	9761	ENSG00000110917	OTTHUMG00000169187	uc001tyy.2	BC000371	NM_014730	CCDS9206|CCDS76609	Q14165	18524852|22988243	MGI:1924015	RGD:1307736	NA	MLEC	613802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
RIMBP2	RIMBP2	ok	NO	0.0646	0.349	0.00706	0.161	0.241	0.0309	0.0971	HGNC:30339	RIMS binding protein 2	protein-coding gene	gene with protein product	Approved	12q24.33	12q24.33	KIAA0318|RBP2|MGC15831|RIM-BP2|PPP1R133	protein phosphatase 1, regulatory subunit 133	NA	NA	Protein phosphatase 1 regulatory subunits	694	2006-01-24	NA	NA	2017-03-22	23504	ENSG00000060709	OTTHUMG00000168385	uc001uim.4	AB002316	NM_015347	CCDS31925	O15034	10748113	MGI:2443235	RGD:708533	NA	RIMBP2	611602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
R3HDM1	R3HDM1	ok	NO	0.0188	0.236	0.0338	0.25	0.592	0.0701	0.0971	HGNC:9757	R3H domain containing 1	protein-coding gene	gene with protein product	Approved	2q21.3	02q21.3	KIAA0029	NA	R3HDM	R3H domain (binds single-stranded nucleic acids) containing	NA	NA	2000-08-11	2005-09-02	2005-09-02	2014-11-19	23518	ENSG00000048991	OTTHUMG00000131740	uc002tuo.5	D21852	NM_015361	CCDS2177|CCDS63024|CCDS63025|CCDS63026	Q15032	7584026	MGI:2448514	RGD:1307497	NA	R3HDM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
BCL11A	BCL11A	ok	NO	0.00491	0.16	0.0778	0.346	0.0893	0.0472	0.0971	HGNC:13221	BCL11A, BAF complex component	protein-coding gene	gene with protein product	Approved	2p16.1	02p16.1	BCL11A-XL|BCL11A-L|BCL11A-S|CTIP1|HBFQTL5|ZNF856	NA	EVI9	ecotropic viral integration site 9|B-cell CLL/lymphoma 11A (zinc finger protein)|B cell CLL/lymphoma 11A	Zinc fingers C2H2-type|BAF complex	28|1604	2001-02-28	NA	2018-11-01	2018-11-01	53335	ENSG00000119866	OTTHUMG00000129420	uc002sae.2	AJ404611	NM_022893	CCDS1861|CCDS1862|CCDS46295|CCDS86845	Q9H165	11719382|18245381	MGI:106190	RGD:1309923	The Globin Gene Server|http://lovd.bx.psu.edu/home.php?select_db=BCL11A	BCL11A	606557	NA	NA	NA	NA	139145	NA	NA	NA	NA	NA	341	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
ZNF574	ZNF574	ok	NO	0.0746	0.371	0.00526	0.149	0.341	0.795	0.0971	HGNC:26166	zinc finger protein 574	protein-coding gene	gene with protein product	Approved	19q13.2	19q13.2	FLJ22059	NA	NA	NA	Zinc fingers C2H2-type	28	2004-02-15	NA	NA	2015-08-26	64763	ENSG00000105732	OTTHUMG00000182751	uc060zev.1	AK074788	NM_022752	CCDS12596|CCDS82356	Q6ZN55	12477932	MGI:2442951	RGD:1311420	NA	ZNF574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	534	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
VSTM2A	VSTM2A	ok	NO	0.0491	0.318	0.0115	0.18	0.362	0.0784	0.0971	HGNC:28499	V-set and transmembrane domain containing 2A	protein-coding gene	gene with protein product	Approved	7p11.2	07p11.2	MGC33530	NA	VSTM2	V-set and transmembrane domain containing 2	V-set domain containing	590	2006-09-12	2007-08-10	2007-08-10	2014-11-19	222008	ENSG00000170419	OTTHUMG00000129271	uc010kzf.4	BC028404	NM_182546	CCDS5512|CCDS75604|CCDS83185	Q8TAG5	12477932	MGI:2384826	RGD:1596197	NA	VSTM2A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
CDHR3	CDHR3	ok	NO	0.0268	0.269	0.0246	0.225	NA	NA	0.0971	HGNC:26308	cadherin related family member 3	protein-coding gene	gene with protein product	Approved	7q22.3	07q22.3	FLJ44366|FLJ23834|CDH28	NA	NA	cadherin-related family member 3	Cadherin related	24	2010-01-25	NA	2015-11-23	2016-10-05	222256	ENSG00000128536	OTTHUMG00000157520	uc003vdl.5	AK126338	NM_152750	CCDS47684|CCDS75651	Q6ZTQ4	NA	MGI:1916014	RGD:1591286	NA	CDHR3	615610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
GNA12	GNA12	ok	NO	0.0269	0.27	0.0249	0.225	0.299	0.102	0.0975	HGNC:4380	G protein subunit alpha 12	protein-coding gene	gene with protein product	Approved	7p22.3-p22.2	07p22.3-p22.2	gep	NA	NA	guanine nucleotide binding protein (G protein) alpha 12	NA	NA	1993-07-26	NA	2016-03-03	2018-02-13	2768	ENSG00000146535	OTTHUMG00000023064	uc003smu.5	L01694	NM_007353	CCDS5335|CCDS64584|CCDS64583	Q03113	8423800|16247467	MGI:95767	RGD:71018	NA	GNA12	604394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
KLRD1	KLRD1	ok	NO	0.00559	0.166	0.0736	0.338	0.189	0.188	0.0975	HGNC:6378	killer cell lectin like receptor D1	protein-coding gene	gene with protein product	Approved	12p13	12p13	NA	NA	CD94	killer cell lectin-like receptor subfamily D, member 1	CD molecules|Killer cell lectin like receptors|C-type lectin domain containing	471|621|1298	1998-01-16	NA	2016-01-14	2016-01-14	3824	ENSG00000134539	OTTHUMG00000168419	uc001qxw.5	U30610	NM_002262	CCDS8621|CCDS8622|CCDS86281	Q13241	7589107	MGI:1196275	RGD:2978	NA	KLRD1	602894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CD94	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
MYBL1	MYBL1	ok	NO	0.0279	0.272	0.0237	0.222	0.825	0.142	0.0975	HGNC:7547	MYB proto-oncogene like 1	protein-coding gene	gene with protein product	Approved	8q13.1	08q13.1	AMYB|A-myb	NA	NA	v-myb avian myeloblastosis viral oncogene homolog-like 1	Myb/SANT domain containing	532	1991-09-13	NA	2016-03-01	2018-11-16	4603	ENSG00000185697	OTTHUMG00000164559	uc003xwj.4	X13294	NM_001080416	CCDS47867|CCDS55241	P10243	NA	MGI:99925	RGD:1306940	NA	MYBL1	159405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
NAP1L3	NAP1L3	ok	NO	0.0299	0.277	0.0222	0.22	NA	NA	0.0975	HGNC:7639	nucleosome assembly protein 1 like 3	protein-coding gene	gene with protein product	Approved	Xq21.32	Xq21.32	MB20|NPL3|MGC26312	NA	NA	nucleosome assembly protein 1-like 3	NA	NA	1996-09-03	NA	2016-03-10	2016-10-05	4675	ENSG00000186310	OTTHUMG00000021974	uc004efq.4	NA	NM_004538	CCDS14465	Q99457	8976385	MGI:1859565	RGD:620990	Mental Retardation database|http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=NAP1L3	NAP1L3	300117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
PPM1A	PPM1A	ok	NO	0.0749	0.372	0.00554	0.152	0.012	0.0327	0.0975	HGNC:9275	protein phosphatase, Mg2+/Mn2+ dependent 1A	protein-coding gene	gene with protein product	Approved	14q23.1	14q23.1	MGC9201|PP2Calpha|PP2CA	phosphatase 2C alpha|protein phosphatase 2C, alpha isoform	NA	protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform|protein phosphatase, Mg2+/Mn2+ dependent, 1A	Protein phosphatases, Mg2+/Mn2+ dependent	701	1993-02-05	NA	2015-11-20	2015-11-20	5494	ENSG00000100614	OTTHUMG00000140333	uc001xey.5	S87759	NM_021003	CCDS9744|CCDS9745|CCDS45120	P35813	1311954	MGI:99878	RGD:3373	NA	PPM1A	606108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1.3.16	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
HEPH	HEPH	ok	NO	0.0406	0.298	0.0153	0.196	NA	NA	0.0975	HGNC:4866	hephaestin	protein-coding gene	gene with protein product	Approved	Xq12	Xq12	KIAA0698|CPL	NA	NA	NA	NA	NA	1999-05-07	NA	NA	2016-10-05	9843	ENSG00000089472	OTTHUMG00000021732	uc011moz.4	AB014598	NM_138737	CCDS14384|CCDS14385|CCDS48133|CCDS65277	Q9BQS7	9988272|9734811	MGI:1332240	RGD:71060	Mental Retardation database|http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=HEPH	HEPH	300167	NA	NA	NA	NA	470440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
LDLRAP1	LDLRAP1	ok	NO	0.00189	0.131	0.113	0.407	0.339	0.827	0.0975	HGNC:18640	low density lipoprotein receptor adaptor protein 1	protein-coding gene	gene with protein product	Approved	1p36.11	01p36.11	ARH|ARH2|FHCB1|FHCB2|MGC34705|DKFZp586D0624	NA	NA	NA	NA	NA	2005-02-24	NA	NA	2018-12-06	26119	ENSG00000157978	OTTHUMG00000007386	uc001bkl.5	BC029770	NM_015627	CCDS30639	Q5SW96	NA	MGI:2140175	RGD:1563417	LRG_276|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_276.xml	LDLRAP1	605747	NA	NA	NA	NA	123023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
SNX10	SNX10	ok	NO	0.0722	0.367	0.00599	0.154	0.318	0.423	0.0975	HGNC:14974	sorting nexin 10	protein-coding gene	gene with protein product	Approved	7p15.2	07p15.2	NA	NA	NA	NA	Sorting nexins	754	2001-04-10	NA	NA	2014-11-18	29887	ENSG00000086300	OTTHUMG00000023650	uc010kuu.4	AF121860	NM_001199835	CCDS5399|CCDS56470	Q9Y5X0	17012226	MGI:1919232	RGD:1305782	NA	SNX10	614780	NA	NA	NA	NA	299652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
NOL12	NOL12	ok	NO	0.033	0.281	0.0199	0.211	0.423	0.0554	0.0975	HGNC:28585	nucleolar protein 12	protein-coding gene	gene with protein product	Approved	22q13.1	22q13.1	MGC3731|Nop25|RRP17	NA	NA	NA	NA	NA	2006-06-23	NA	NA	2015-01-29	79159	ENSG00000273899	OTTHUMG00000150660	uc003atp.4	Z83844	NM_024313	CCDS13955	Q9UGY1	12477932	MGI:2146285	RGD:1305327	NA	NOL12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
GALM	GALM	ok	NO	0.0589	0.338	0.00868	0.173	0.0187	0.644	0.0975	HGNC:24063	galactose mutarotase	protein-coding gene	gene with protein product	Approved	2p22.1	02p22.1	NA	aldose 1-epimerase|aldose mutarotase|galactomutarotase	NA	NA	NA	NA	2004-01-13	NA	2016-05-26	2016-10-05	130589	ENSG00000143891	OTTHUMG00000102077	uc002rqy.4	NA	NM_138801	CCDS1797	Q96C23	12753898	MGI:2442420	RGD:1359459	NA	GALM	137030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.1.3.3	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
ZNF578	ZNF578	ok	NO	0.00646	0.175	0.0694	0.331	0.358	0.992	0.0975	HGNC:26449	zinc finger protein 578	protein-coding gene	gene with protein product	Approved	19q13.41	19q13.41	FLJ31384	NA	NA	NA	Zinc fingers C2H2-type	28	2004-02-15	NA	NA	2014-11-19	147660	ENSG00000258405	OTTHUMG00000156468	uc002pzp.5	AK095562	NM_152472	CCDS54310	Q96N58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	271	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
EMX2	EMX2	ok	NO	0.0563	0.333	0.00955	0.176	0.377	0.226	0.0981	HGNC:3341	empty spiracles homeobox 2	protein-coding gene	gene with protein product	Approved	10q26.11	10q26.11	NA	NA	NA	empty spiracles homolog 2 (Drosophila)	NKL subclass homeoboxes and pseudogenes	519	1994-02-08	NA	2007-02-15	2015-08-27	2018	ENSG00000170370	OTTHUMG00000019123	uc001ldh.5	AF301598	NM_004098	CCDS7601|CCDS53583	Q04743	7959790	MGI:95388	RGD:1564797	NA	EMX2	600035	NA	8433	NA	NA	121529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
GRSF1	GRSF1	ok	NO	0.0752	0.372	0.00564	0.153	0.709	0.791	0.0981	HGNC:4610	G-rich RNA sequence binding factor 1	protein-coding gene	gene with protein product	Approved	4q13.3	04q13.3	NA	NA	NA	NA	RNA binding motif containing	725	1995-11-29	NA	NA	2016-10-06	2926	ENSG00000132463	OTTHUMG00000160846	uc010iia.2	BC040485	NM_002092	CCDS47069|CCDS47070	Q12849	8036161	MGI:106479	RGD:1310858	NA	GRSF1	604851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
LAMB1	LAMB1	ok	NO	0.061	0.342	0.00834	0.173	0.432	0.562	0.0981	HGNC:6486	laminin subunit beta 1	protein-coding gene	gene with protein product	Approved	7q31.1	07q31.1	NA	NA	CLM	cutis laxa with marfanoid phenotype|laminin, beta 1	Laminin subunits	626	1986-01-01	NA	2015-11-23	2016-10-05	3912	ENSG00000091136	OTTHUMG00000149966	uc003vew.3	M61916	NM_002291	CCDS5750	P07942	2563160|2704655|1864606	MGI:96743	RGD:1306311	NA	LAMB1	150240	NA	NA	NA	NA	356176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
